image,sidewalk_width,free_lane_width,longitudinal_slope,transversal_slope,sidewalk_width_classification,free_lane_width_classification,longitudinal_slope_classification,transversal_slope_classification,pavement_quality,surface_material,fissures,cracks,holes,surface_irregularities,obstacles_in_the_free_lane,obstacles_in_the_sidewalk,is_there_a_pedestrian_crossing,is_there_a_curb_ramp,car_access_ramp_exists_and_interrupt_free_lane,would_it_be_possible_to_get_through_in_a_wheelchair,what_is_the_biggest_challenge_for_a_person_on_a_wheelchair
JF01b,"2,30","1,57","7,82","4,53","2,30","1,57","7,82","4,53",4,Pedra portuguesa,Não,Não,Sim,sim,irregularidades na calçada,irregularidades na calçada,Não,Não,Não,Sim,Não foi identificado desafio
JF02b,"2,32","1,41","5,7","1,27","2,32","1,41","5,7","1,27",8,Concreto,Sim,Sim,Não,Não,Obstáculo não identificado,"Árvore, Canteiro",Não,Não,Não,Sim,Não foi identificado desafio
JF03b,"3,88","3,88","7,54","1,77","3,88","3,88","7,54","1,77",2,Concreto,Sim,Sim,Sim,sim,"Buracos, piso solto",Buracos pedras,Não,Não,Não,Não,"Trincas, buracos na superfície e inclinação longitudinal"
JF04c,"2,47","1,43","1,45","0,93","2,47","1,43","1,45","0,93",8,Pedra portuguesa,Sim,Sim,Não,Não,Não identificado,,Não,Não,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF05b,"2,47","1,43","1,45","0,93","2,47","1,43","1,45","0,93",8,Concreto grosso,Sim,Não,Não,Não,Desnível,"Árvore, Mesa de xadrez, desnível",Não,Não,Não,Não,Desnível
JF06b,"0,97","0,44","0,99","1,12","0,97","0,44","0,99","1,12",6,Concreto,Sim,Sim,Não,Não,Poste,"Poste, Degrau",Não,Não,Não,Não,Largura da faixa livre
JF07b,"0,81","0,81","0,13","5,35","0,81","0,81","0,13","5,35",4,Concreto,Sim,Sim,Sim,sim,"Estreitamento, buracos","Estreitamento, buracos",Não,Não,Não,Não,Estreitamento da calçada e buracos
JF08b,"2,37","1,18","0,23","0,32","2,37","1,18","0,23","0,32",8,Concreto,Sim,Não,Não,Não,Degrau,Degrau,Não,Não,Não,Não,Degrau
JF09b,"2,21","1,46","0,31","0,08","2,21","1,46","0,31","0,08",6,Concreto,Sim,Sim,Sim,sim,Buracos,"Árvore, Canteiro,Buracos",Não,Não,Não,Não,"A passagem seria possível porém difícil, devido às irregularidades na superfície"
JF10b,"1,49","1,49","3,12","6,7","1,49","1,49","3,12","6,7",4,Concreto e ardósia,Sim,Sim,Sim,sim,"Rampa de acesso de veículos (cunha), trincas",Rampa de acesso de veículos (cunha) e trincas,Não,Não,sim,Não,Inclinação transversal da calçada e irregularidades na superfície
JF11b,"2,59","2,5","1,06","4,37","2,59","2,5","1,06","4,37",6,Concreto,Sim,Sim,Sim,sim,Trincas e buracos,"Poste, trincas e buracos",Sim,Sim,não,Sim,Irregularidades na superfície
JF12b,"1,4","1,01","2,44","2,17","1,4","1,01","2,44","2,17",4,Concreto,Sim,Sim,Sim,sim,Trincas e buracos,"Poste de sinalização, trincas e buracos",Não,Não,Não,Não,Largura da faixa livre e irregularidades na superfície da calçada
JF13b,"1,39","1,33","1,05","4,43","1,39","1,33","1,05","4,43",4,Concreto,Sim,Sim,Sim,Não,"Rampa de acesso de veículos (cunha), Degrau","Rampa de acesso de veículos (cunha), Degrau",Não,Não,sim,Não,Rampa com inclinação elevada e má qualidade da superfície
JF14b,"1,99","1,99","2,25","9,88","1,99","1,99","2,25","9,88",6,Concreto grosso,Sim,Não,Não,Não,Rampa de acesso de veículos (cunha),Rampa de acesso de veículos (cunha),Não,Não,sim,Não,Inclinação transversal da calçada
JF15b,"1,21","0,74","1,37","4,91","1,21","0,74","1,37","4,91",2,Concreto,Sim,Sim,Sim,sim,Poste,Poste,Não,Não,Não,Não,Largura da faixa livre e buracos
JF16b,"2,72","1,56","0,7","2,87","2,72","1,56","0,7","2,87",4,Concreto grosso,Sim,Sim,Sim,sim,"Degrau, trincas e buracos","Poste, Mobiliário, Degrau, trincas e buracos",Não,Não,sim,Não,Degrau e buracos
JF17b,"0,81","0,77","1,93","1,34","0,81","0,77","1,93","1,34",2,Terreno natural e concreto,Sim,Sim,Sim,Sim,"Vegetação, tapume e rampa de acesso de veículos","Rampa de acesso de veículos (cunha), Carro, Vegetação",Não,Não,sim,Não,Largura da calçada e interrupção na pavimentação e inclinação transversal
JF18b,"2,01","1,08","0,28","7,18","2,01","1,08","0,28","7,18",2,Concreto liso,Sim,Sim,Sim,sim,"Vegetação, Buraco, inclinação transversal","Vegetação, Buraco, inclinação transversal",Não,Não,sim,Não,Buraco e inclinação transversal
JF19b,"3,5","1,59","1,35","6,29","3,5","1,59","1,35","6,29",6,Asfalto,Sim,Sim,Não,Não,Rampa de acesso de veículos (cunha),"Poste, Rampa de acesso de veículos (cunha)",Sim,Sim,Sim,Não,"Inclinação transversal e inclinação da rampa de rebaixamento. A largura entre a rampa de acesso de veículos e o poste é inferior à mínima permitida, Não trecho onde há largura suficientre a inclinação transversal é maior."
JF20b,"2,3","2,3","3,93","5,22","2,3","2,3","3,93","5,22",8,Concreto,Não,Sim,Não,Não,"Rampa de acesso de veículos (cunha), Rampa","Rampa de acesso de veículos (cunha), Rampa",Não,Não,sim,Não,Desnível acentuado
JF21b,"2,77","2,18","0,72","0,05","2,77","2,18","0,72","0,05",6,Concreto grosso,Sim,Sim,Não,sim,Irregularidades Não piso,Irregularidades Não piso,Sim,Sim,não,Sim,Irregularidades na superfície
JF22b,"1,53","0,92","2,98","0,86","1,53","0,92","2,98","0,86",10,Piso cimentício,Sim,Não,Não,Não,Poste,Poste,Não,Não,Não,Não,Largura da faixa livre
JF23b,"1,48","1,48","1,73","20,09","1,48","1,48","1,73","20,09",4,Concreto liso e pedra portuguesa,Sim,Sim,Não,sim,Rampa de acesso de veículos (cunha),Rampa de acesso de veículos (cunha),Não,Não,sim,Não,Inclinação transversal e textura da superfície
JF24b,"1,86","1,86","0,94","5,08","1,86","1,86","0,94","5,08",6,Asfalto,Sim,Não,Não,sim,Não identificado,Não identificado,Não,Não,Sim,Não,Inclinação transversal
JF25b,"2,52","1,65","1,88","3,57","2,52","1,65","1,88","3,57",8,Concreto e piso intertravado,Não,Sim,Não,Não,Não identificado,Não identificado,Não,Não,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF26b,"2,49","2,49","0,8","4,9","2,49","2,49","0,8","4,9",8,Concreto e piso intertravado,Não,Não,Não,Não,Não identificado,Poste,Sim,Sim,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF27b,"1,5","0,83","4,59",16,"1,5","0,83","4,59",16,4,Concreto,Sim,Não,Não,sim,"Rampa de acesso de veículos (cunha), trincas e buracos","Rampa de acesso de veículos (cunha),trincas e buracos",Não,Não,sim,Não,Rampa de acesso de veículos obstruindo a faixa livre
